# ----------------------------------------
# Toate datele site-ului
# Pages
# 20140311-20140410
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/doku.php?id=wiki:user:raptorak,"10,108","5,246",00:04:01,267,2.25%,25.50%,$0.00
/doku.php,"6,082","3,305",00:00:53,"1,588",33.12%,15.82%,$0.00
/doku.php?id=my_latrine_blew_up,"5,316","5,312",00:00:50,"5,311",99.94%,99.92%,$0.00
/doku.php?id=start,"4,653","2,226",00:01:01,558,35.84%,20.01%,$0.00
/doku.php?id=scrypt_altcoin_cloning_guide,"4,176","2,099",00:00:55,"1,993",42.45%,39.44%,$0.00
/doku.php?id=smf_incoming_email_capability,"3,105",38,00:00:57,25,8.00%,0.61%,$0.00
/doku.php?id=earn_devcoins_by_writing,"2,696","2,104",00:02:03,795,70.82%,47.66%,$0.00
/doku.php?id=sex_and_death_in_the_military,"2,608","2,608",00:00:05,"2,596",99.61%,99.50%,$0.00
/doku.php?id=my_bill_of_rights_protest,"1,761","1,590",00:00:16,"1,588",28.02%,29.64%,$0.00
/doku.php?id=essaim_1_2,"1,632","1,631",00:00:04,"1,620",99.51%,99.39%,$0.00
/doku.php?id=devcoin,"1,449","1,227",00:02:16,"1,101",67.03%,63.15%,$0.00
/doku.php?id=conditional_forgiveness,"1,292","1,247",00:00:22,"1,243",15.69%,17.72%,$0.00
/doku.php?id=eschatalogy_history_early_church,"1,266","1,218",00:00:20,"1,211",18.33%,20.30%,$0.00
/doku.php?id=free_agency_and_ethics,"1,256","1,210",00:00:21,"1,207",16.65%,18.47%,$0.00
/doku.php?id=life_of_god_in_the_soul_of_man,"1,221","1,178",00:00:21,"1,173",14.83%,16.79%,$0.00
/doku.php?id=start&do=recent,"1,206","1,079",00:00:33,53,62.26%,43.95%,$0.00
/doku.php?id=devcoin_bounty_now,"1,187",506,00:01:24,438,75.57%,33.19%,$0.00
/doku.php?id=when_prophecy_goes_rogue,"1,115","1,078",00:00:17,"1,070",18.13%,19.55%,$0.00
/doku.php?id=how_to_use_the_third_way_philosophy_for_yourself,845,54,00:01:04,10,40.00%,1.66%,$0.00
/doku.php?id=start&do=index/,694,641,00:00:47,54,70.37%,35.73%,$0.00
/doku.php?id=devcoin_bounty_engine&s[]=bounty&s[]=engine,636,23,00:01:09,5,20.00%,0.63%,$0.00
/doku.php?id=mining_pools_vs_solo_mining,630,604,00:00:46,311,86.50%,46.83%,$0.00
/doku.php?id=this_week_in_gpu_markets-3_10_14,627,594,00:02:58,589,91.85%,89.31%,$0.00
/doku.php?id=how_to_get_setup_earning_devcoins_by_writing,591,363,00:02:30,86,44.19%,26.06%,$0.00
/doku.php?id=how_to_setup_a_merged_mining_bitcoin_pool_with_poolserverj,582,513,00:05:16,505,88.32%,86.08%,$0.00
/doku.php?id=caught_off_guard,561,66,00:00:46,11,54.55%,2.67%,$0.00
/doku.php?id=installing_glass_blocks_professionally,547,401,00:02:49,400,75.00%,72.58%,$0.00
/doku.php?id=scrypt_altcoin_cloning_guide&do=revisions,496,277,00:00:12,111,90.99%,22.38%,$0.00
/doku.php?id=start&do=login,496,336,00:00:34,42,4.76%,4.03%,$0.00
/doku.php?id=lucas_chess,488,400,00:03:23,398,83.67%,79.10%,$0.00
/doku.php?id=solo_vs_pool_mining,459,434,00:00:29,135,74.07%,26.14%,$0.00
/doku.php?id=rift_loyalty_system,433,406,00:00:21,143,86.71%,32.33%,$0.00
/doku.php?id=start&do=media,431,420,00:00:41,28,89.29%,60.79%,$0.00
/doku.php?id=sha256_altcoin_cloning_guide,429,348,00:03:02,247,72.06%,62.00%,$0.00
/doku.php?id=start&do=index,416,412,00:00:16,27,88.89%,53.85%,$0.00
/doku.php?id=rift_cross_shard_features,407,387,00:00:12,113,81.42%,24.82%,$0.00
/doku.php?id=devtome_writer_rules_read_me_first,380,356,00:00:33,35,17.14%,5.00%,$0.00
/doku.php?id=sto_pvp_maps,373,351,00:00:34,40,50.00%,8.58%,$0.00
/doku.php?id=a_look_at_feathercoin,370,358,00:00:25,69,71.01%,15.95%,$0.00
/doku.php?id=the_rise_and_fall_of_maxcoin,362,350,00:00:27,38,39.47%,6.91%,$0.00
/doku.php?id=wiki:user:eeharris/,361,360,00:00:14,16,87.50%,45.71%,$0.00
/doku.php?id=running_a_bitcoin_faucet,359,338,00:00:37,75,70.67%,21.73%,$0.00
/doku.php?id=coinfaucets_the_ultimate_bitcoin_faucet_rotator,358,337,00:00:17,73,65.75%,17.32%,$0.00
/doku.php?id=rift_rex_-_the_inevitable_price_drop,355,344,00:00:31,58,72.41%,16.06%,$0.00
/doku.php?id=kickstarter_funding_makes_no_sense,354,334,00:00:21,18,0.00%,2.82%,$0.00
/doku.php?id=pywallet,354,290,00:03:44,283,82.33%,80.51%,$0.00
/doku.php?id=cbtc_december_report,353,335,00:00:10,21,14.29%,3.12%,$0.00
/doku.php?id=rift_gearing_up_for_pvp,353,339,00:00:27,51,64.71%,10.76%,$0.00
/doku.php?id=used_car_buying_guide,353,328,00:00:49,7,0.00%,6.23%,$0.00
/doku.php?id=why_rift_planar_attunement_is_capped,353,335,00:00:30,35,42.86%,6.52%,$0.00
/doku.php?id=investing_in_just_-_dice,352,339,00:00:35,62,72.58%,17.33%,$0.00
/doku.php?id=category:christianity,350,318,00:00:14,0,0.00%,41.43%,$0.00
/doku.php?id=final_fantasy_vii_review_-_why_i_love_it,349,336,00:00:08,21,0.00%,3.44%,$0.00
/doku.php?id=rift_guild_quests_review,349,332,00:00:19,69,75.36%,19.48%,$0.00
/doku.php?id=warning:do_not_trust_others_opinions_on_crypto_currency_trades,348,324,00:00:29,19,0.00%,2.01%,$0.00
/doku.php?id=middlecoin_pool,347,331,00:00:32,67,68.66%,16.14%,$0.00
/doku.php?id=rift_auction_house_undercutting,346,329,00:00:24,39,53.85%,9.25%,$0.00
/doku.php?id=electric_cars_and_the_path_ahead,345,329,00:00:30,18,0.00%,3.48%,$0.00
/doku.php?id=touch_screen_monitors_-_monitors_of_the_future,345,329,00:00:20,12,0.00%,2.90%,$0.00
/doku.php?id=betarigs_review,344,327,00:00:15,25,24.00%,4.36%,$0.00
/doku.php?id=cryptsy_and_the_lag_of_doom,344,329,00:00:13,19,0.00%,1.16%,$0.00
/doku.php?id=rift_tips_and_tricks_1,344,331,00:00:17,15,0.00%,1.74%,$0.00
/doku.php?id=left_4_dead_2_goes_free_and_crashes_steam,343,320,00:00:05,21,19.05%,3.21%,$0.00
/doku.php?id=microtown_-_my_initial_thoughts,343,323,00:00:18,18,5.56%,2.92%,$0.00
/doku.php?id=rift_artifacts_opinions,343,323,00:00:43,41,73.17%,11.37%,$0.00
/doku.php?id=the_importance_of_commenting_software_for_developers,343,332,00:00:19,20,0.00%,4.08%,$0.00
/doku.php?id=butterfly_labs_mining_equipment_available_on_tiger_direct,341,330,00:00:20,18,0.00%,2.05%,$0.00
/doku.php?id=low_level_pvp_in_rift,341,320,00:00:16,31,45.16%,5.87%,$0.00
/doku.php?id=why_rift_should_remove_faction_based_warfronts,341,330,00:00:11,20,5.00%,3.52%,$0.00
/doku.php?id=california_pizza_kitchen_case_study,340,294,00:05:16,290,85.86%,83.82%,$0.00
/doku.php?id=primecoin_my_thoughts,340,326,00:00:19,18,16.67%,5.00%,$0.00
/doku.php?id=rift_-_a_look_at_conquest_decay,340,324,00:00:09,24,25.00%,4.71%,$0.00
/doku.php?id=rift_soul_building_guide,339,330,00:00:33,11,18.18%,3.24%,$0.00
/doku.php?id=bitcoin_difficulty_rising_fast,338,318,00:00:21,25,24.00%,4.44%,$0.00
/doku.php?id=black_friday_sales_on_thursday,337,324,00:00:13,16,0.00%,3.56%,$0.00
/doku.php?id=candida,337,289,00:06:45,284,87.32%,84.27%,$0.00
/doku.php?id=why_dynamic_levels_in_mmos_rock,337,323,00:00:28,17,5.88%,1.78%,$0.00
/doku.php?id=rift_mentoring_system,336,318,00:00:13,31,32.26%,7.74%,$0.00
/doku.php?id=rift_tips_and_tricks_2,336,313,00:00:41,14,0.00%,1.49%,$0.00
/doku.php?id=bitads_review,335,319,00:00:19,28,14.29%,4.48%,$0.00
/doku.php?id=guild_wars_2_upcoming_pvp_rewards_road_map_opinions,334,321,00:00:27,9,0.00%,2.99%,$0.00
/doku.php?id=rift_-_boosting_reputation_after_finishing_all_quests,334,321,00:00:24,23,0.00%,2.40%,$0.00
