Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,2/5-Button(https://bitcointalk.org/index.php?topic=34586.msg2133874#msg2133874)
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,1-Advertising Administrator(https://bitcointalk.org/index.php?topic=34586.msg1888348#msg1888348)
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,1-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg2250896#msg2250896),2/5-Logo(https://bitcointalk.org/index.php?topic=34586.msg2251061#msg2251061)
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,1-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg2219408#msg2219408)
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,1/5-Node Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1938014#msg1938014),2/5-Block Explorer Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1943155#msg1943155),2/5-Faucet Maintenance(https://bitcointalk.org/index.php?topic=34586.msg2028378#msg2028378),1/5-Account Script Maintenance(https://bitcointalk.org/index.php?topic=34586.msg2171884#msg2171884),1/5-Wiki Backup(https://bitcointalk.org/index.php?topic=34586.msg2171884#msg2171884)
Faucet,1EpJKJbpeoXnYGtoB8F6re78FMAtvNRWMf,2/5-Faucet Donation
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,3-Portal(https://bitcointalk.org/index.php?topic=34586.msg2214190#msg2214190)
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,1-Signing Administrator(https://bitcointalk.org/index.php?topic=34586.msg1888348#msg1888348),2/5-File Administrator
Gweedo,15MZRa1cPUVChs6XpzyAfGox5nvPVpSvok,1/5-Ticker Maintenance(https://bitcointalk.org/index.php?topic=34586.msg2001047#msg2001047)
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,1/5-Backup Maintenance(https://bitcointalk.org/index.php?topic=34586.msg889087#msg889087),2/5-Block Explorer Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1084393#msg1084393)
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb,1-Devtome Administrator,2/5-File Administrator,1/5-Node Maintenance(https://bitcointalk.org/index.php?topic=34586.msg2128556#msg2128556),1/5-Portal Maintenance(https://bitcointalk.org/index.php?topic=34586.msg2198037#msg2198037),6-Portal(https://bitcointalk.org/index.php?topic=34586.msg2198037#msg2198037)
K1773R,1NGCrVaFXanWib44ijNBR8yBoCAREGpXro,2/5-File Administrator,2/5-Block Explorer Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1376078#msg1376078),1-Windows Administrator(https://bitcointalk.org/index.php?topic=34586.msg1791709#msg1791709)
Markm,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,1-Source Administrator(https://bitcointalk.org/index.php?topic=34586.msg2002555#msg2002555),2/5-File Administrator,2/5-Wiki Maintenance(https://bitcointalk.org/index.php?topic=34586.msg654190#msg654190),1/5-Node Maintenance(https://bitcointalk.org/index.php?topic=34586.msg2128556#msg2128556)
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,1/5-Ticker Maintenance(https://bitcointalk.org/index.php?topic=34586.msg2001047#msg2001047)
Raptorak,1ASdsZ1JUwtVXDfYBx7MRNMeHQ8J51pSRw,1-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg2240933#msg2240933)
Shakezula,1AyjX2QpTYFnmMFnzD3A2sqosfrrMuKbcz,1-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg2225645#msg2225645)
Shattienator,1Fhex5BvBGaChJqK75Z6MPxtK9muSsScKC,2/5-File Administrator,1/5-Maintenance(https://bitcointalk.org/index.php?topic=34586.msg640074#msg640074)
Twobits,13A2e3wX9MVMtP1JMxGFcbd2ZuSeVLe8uZ,1/5-Node Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1936478#msg1936478)
Skull88,16zzvDuVhTbSjAuJewheRTxHmj2eSnE5hE,2/5-Logo(https://bitcointalk.org/index.php?topic=34586.msg2248232#msg2248232)
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,1-Founder Administrator
Veruminnumeris,1KZZaLCMPTh9tiNZ7JDXeZUjr6yPYYwtGD,1-Signing Bonus(https://bitcointalk.org/index.php?topic=34586.msg2164078#msg2164078)
Xchrix,112NRCenwi3VTS9GMuW1kgnAKFGjE9YymR,1/5-Cryptocoincharts Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1385226#msg1385226)
