Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,18674,18674,18674,19,0.0369689938748,19,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,0,6896,6896,6896,7,0.0136520392932,0,7
Barnacle_Ed,1G2SGLjNvrhZPZfEeqnmFtK16mddroKArw,0,0,0,3830,3830,3830,4,0.00758226660279,3,1
CryptoAddicto,1DnUdPN8k4djtdBNTouQxEJd5DQqZMt5Z5,5361,1608,0,23697,29058,25305,25,0.0500964115884,25,0
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5913,5913,5913,6,0.0117059901886,0,6
Fheenix,17yKsi79x3EPgaGCYPeTAEwmzBt4GJ1n2F,0,0,0,9659,9659,9659,10,0.0191219616492,0,10
FinShaggy,1mZW6zRuz5wRrCijYgEnJWcncBiqRyFPN,0,0,0,63840,63840,63840,64,0.126384308074,0,64
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,0,18251,18251,18251,18,0.0361315790516,10,8
Gabcab,14JoB7XgPE57yZ4G57YrEFSurf35TGBE8t,0,0,0,7303,7303,7303,7,0.0144577788512,0,7
Grc,1FxaZmCkaqkKxbBz52fNAMe9bRn2GoECvf,1550,465,0,709,2259,1174,1,0.00232417258268,0,1
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,0.00213412099159,1,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1004,1004,1004,1,0.00198762289013,0,1
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,0,0,0,634,634,634,1,0.00125513238281,0,1
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,0.00216777596085,1,0
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb,0,0,0,0,0,0,0,0.0,0,0
Jdean1,1AKHyiMrE5e648KYdvzHDcJcf8QBPjSnXR,0,0,0,2567,2567,2567,3,0.00508190035753,0,3
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,0,0,5,54031,54031,54081,54,0.107064376017,50,4
Kumala,1Fmz2cba6x2ZZqEdD4DyWPV6hYFuEGe2rW,0,0,0,2192,2192,2192,2,0.00433951132985,2,0
Leojane,15szdWSCEVAvXVEKsrEtcKNtCfmo69drZ9,0,0,0,1025,1025,1025,1,0.00202919667568,0,1
Marticps,12UVr7jmrEitXQfzDPXAQ7etiVaa21p4iT,1123,336,0,1050,2173,1386,1,0.00274386984634,0,1
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,0,0,0,10174,10174,10174,10,0.0201415092472,0,10
Mosinnagant,1MWgsbq9464j7RF8WFdJzV72ZKpCxceNfW,0,0,0,31081,31081,31081,31,0.0615311823189,1,30
Operaficionado,19FLaursDZbNyB7Fvj4wjKXYcX8GrZkkGr,0,0,0,11432,11432,11432,11,0.0226319769721,1,10
Pepegom,1DHAQVz32aMV85AazVHEz8ryeYAArV5pTc,0,0,0,1273,1273,1273,1,0.00252016328599,1,0
Python,1DTdNS3EksVgYAs7yykVA1eifjEHNqsqaY,535,160,0,2511,3046,2671,3,0.00528778958121,0,3
Serena,1Hq7gyvgYCnusxcvosmSy26jXXSudnsgwg,0,0,0,31339,31339,31339,31,0.0620419459699,0,31
Termhn,1GDrnVcQFG9GfKGnXNZwkiMMKszBPmPJXW,1054,316,0,6212,7266,6528,7,0.012923508194,0,7
Tosku,1QEMKqsW3y7EgEefSoCR5DLvUvH4xs5zdJ,0,0,0,2435,2435,2435,2,0.00482057941979,1,1
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,48111,14433,0,114005,162116,128438,128,0.254269231835,129,0
Weisoq,1Cy9e1Yuwboj63XRkMkT6W6YsGDtYDrsUp,0,0,0,32687,32687,32687,33,0.0647105870614,0,33
WildElf,1KcKhKTXWX6TN6KJxGpBcDNxwsPWmKk2Tj,0,0,0,21161,21161,21161,21,0.0418925179064,0,21
Xchrix,1PKRpafpxse7kGByFzqA4EzGusDwamR1em,0,0,0,0,0,0,0,0.0,0,0
,Totals,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
,,57734,17318,5,487758,545492,505126,504,1.0,244,261
,Date
,2013-05-06
