Name,Cumulative Proportion,Ball 0, Ball 1, Ball 2, Ball 3, Ball 4, Ball Yellow
Acs26,0.00302335429564,1,10,27,54,10,13
Alex0909,0.0488835626896,3,42,17,42,12,14
Alyssa85,0.05769579784,4,13,53,18,6,10
Ashleysly,0.0620961539016,4,27,42,5,22,6
Atruk,0.0620961539016,4,27,42,5,22,6
Balthozar,0.0718259101031,5,2,14,44,36,2
Barnacle_Ed,0.120064183262,7,41,30,11,41,41
BitcoinAlchemist,0.125154480585,8,1,28,8,14,17
CaramelSunshine,0.125154480585,8,1,28,8,14,17
Ceebizcut,0.131157977824,8,20,18,25,35,3
CryptoAddicto,0.155635768629,9,41,5,8,20,13
Cryptobyte,0.163046515581,10,8,18,33,18,5
Cryptopi,0.1791081753,11,2,39,15,36,23
DeadSea33,0.241407422558,14,30,4,1,19,26
Dexter,0.300719324981,17,48,4,7,56,43
Diamondcardz,0.303710990952,18,1,25,29,30,21
Eammy,0.313913191274,18,33,25,11,2,16
Eeharris,0.333977662612,19,40,20,46,56,13
Emfox,0.333977662612,19,40,20,46,56,13
Emilianoz,0.340511219107,20,4,48,13,13,21
Fheenix,0.407112876695,23,45,40,30,54,29
FinShaggy,0.419199091985,24,27,35,4,45,20
FuzzyBear,0.421519541614,24,34,50,33,14,36
Gabcab,0.421519541614,24,34,50,33,14,36
Glongsword,0.423118361656,24,39,51,20,47,36
Grc,0.423118361656,24,39,51,20,47,36
IanBerble,0.423118361656,24,39,51,20,47,36
Ibrennan,0.423118361656,24,39,51,20,47,36
Icoin,0.423118361656,24,39,51,20,47,36
Infoporter,0.423118361656,24,39,51,20,47,36
Jackjack,0.423118361656,24,39,51,20,47,36
Jdean1,0.423782376106,24,41,55,55,5,29
Knotwork,0.424175599413,24,43,13,2,14,10
Kumala,0.424175599413,24,43,13,2,14,10
Lawyer,0.534842753888,30,54,15,53,52,34
Leojane,0.534842753888,30,54,15,53,52,34
Marticps,0.534864359565,30,54,19,42,23,31
Maximilian_Wilhelm,0.601062711195,34,37,53,13,47,20
Metazilla,0.61008956273,35,10,14,28,21,19
Mosinnagant,0.636022135736,36,35,32,38,9,18
Moxy_Jane,0.656629629736,37,44,11,38,27,8
Odolvlobo,0.664093670689,38,11,34,27,31,32
Ondratra,0.664093670689,38,11,34,27,31,32
Operaficionado,0.692634769007,39,45,6,42,49,21
Osoverflow,0.696000933365,39,55,37,51,23,6
Pepegom,0.697219493505,40,3,27,51,18,43
Python,0.698520155215,40,7,32,18,38,31
Raptorak,0.784942860188,44,54,33,30,24,21
Serena,0.784942860188,44,54,33,30,24,21
Shakezula,0.838439954945,47,54,20,27,22,21
Termhn,0.838439954945,47,54,20,27,22,21
The_Goat_Master,0.844584609269,48,17,35,32,54,39
Tosku,0.846233842555,48,22,45,12,20,1
Unthinkingbit,0.848931671329,48,31,14,56,8,3
Veruminnumeris,0.917549858699,52,22,25,25,24,12
Vilmanoella,0.919190449715,52,27,33,31,45,40
Weisoq,0.944372585566,53,50,31,53,24,12
WildElf,0.944372585566,53,50,31,53,24,12
Wiser,0.966542890148,55,8,5,23,11,22
Xenophaux,0.973982444668,55,31,23,51,26,26
Yungbull,1.0,57,1,1,1,1,1
