Author,Median,Address,Vote
ashleysly,90.0,unthinkingbit_27,90
atruk,50.0,alyssa85_27,50
balthozar,98.0,alyssa85_27,98
bitcoinalchemist,71.0,unthinkingbit_27,71
boelens,76.0,unthinkingbit_27,76
cryptoaddicto,95.0,alyssa85_27,95
devtome_writer,70.0,alyssa85_27,70
diamondcardz,90.0,unthinkingbit_27,90
emfox,61.0,unthinkingbit_27,61
fheenix,60.0,alyssa85_27,60
hellinoos,80.0,alyssa85_27,80
jackjack,90.0,unthinkingbit_27,90
jackrussell,76.0,unthinkingbit_27,76
jdean1,30.0,alyssa85_27,30
jessiewaterfield,88.0,unthinkingbit_27,88
leojane,71.0,unthinkingbit_27,71
osoverflow,61.0,unthinkingbit_27,61
penguinwriter,90.0,alyssa85_27,90
sceeth0,80.0,alyssa85_27,80
theokep,70.0,alyssa85_27,70
vilmanoella,60.0,alyssa85_27,60
wildelf,90.0,unthinkingbit_27,90
